61.5,-179.5,-0.015682,-0.0060773,
60.5,-179.5,-0.016024,-0.0061464,
59.5,-179.5,-0.016007,-0.022911,
58.5,-179.5,0.018946,0.011575,
57.5,-179.5,0.044689,0.037009,
56.5,-179.5,0.045865,0.04338,
55.5,-179.5,0.0016499,0.0099212,
54.5,-179.5,-0.016024,-0.020075,
53.5,-179.5,0.24461,0.23717,
52.5,-179.5,0.032731,0.043861,
51.5,-179.5,0.088341,0.088739,
50.5,-179.5,0.11389,0.10693,
49.5,-179.5,0.12157,0.1115,
48.5,-179.5,0.14971,0.14513,
47.5,-179.5,0.068133,0.063503,
46.5,-179.5,0.042886,0.043523,
45.5,-179.5,0.046528,0.050513,
44.5,-179.5,0.035407,0.037693,
43.5,-179.5,0.011227,0.012357,
42.5,-179.5,0.00027496,-0.00015435,
41.5,-179.5,0.0030511,0.00084301,
40.5,-179.5,0.013359,0.011776,
39.5,-179.5,-0.0041158,-0.0027767,
38.5,-179.5,-0.0023274,-0.0019961,
37.5,-179.5,0.00037863,0.0038784,
36.5,-179.5,0.01357,0.01044,
35.5,-179.5,0.019655,0.021228,
34.5,-179.5,0.028054,0.026663,
33.5,-179.5,0.054756,0.050404,
32.5,-179.5,0.0498,0.043999,
31.5,-179.5,0.038532,0.03305,
30.5,-179.5,0.033153,0.029507,
29.5,-179.5,0.019138,0.018729,
28.5,-179.5,-0.00073598,-0.00012519,
27.5,-179.5,-0.0081398,-0.00791,
26.5,-179.5,-0.011892,-0.011698,
25.5,-179.5,-0.013399,-0.013208,
24.5,-179.5,-0.014621,-0.014373,
23.5,-179.5,-0.01504,-0.014768,
22.5,-179.5,-0.01549,-0.015202,
21.5,-179.5,-0.015806,-0.015506,
20.5,-179.5,-0.015812,-0.015517,
19.5,-179.5,-0.015882,-0.015578,
18.5,-179.5,-0.015862,-0.015563,
17.5,-179.5,-0.015858,-0.015557,
16.5,-179.5,-0.015875,-0.015569,
15.5,-179.5,-0.015877,-0.015586,
14.5,-179.5,-0.015788,-0.015504,
13.5,-179.5,-0.015869,-0.015566,
12.5,-179.5,-0.015858,-0.015559,
11.5,-179.5,-0.015784,-0.015471,
10.5,-179.5,-0.015649,-0.015329,
9.5,-179.5,-0.014929,-0.014421,
8.5,-179.5,-0.012978,-0.012575,
7.5,-179.5,-0.011748,-0.0107,
6.5,-179.5,-0.0074159,-0.0059838,
5.5,-179.5,0.0047443,0.0070059,
4.5,-179.5,0.014327,0.017009,
3.5,-179.5,0.038078,0.038606,
2.5,-179.5,0.04659,0.04532,
1.5,-179.5,0.061252,0.061387,
0.5,-179.5,0.075152,0.076045,
-0.5,-179.5,0.063095,0.063208,
-1.5,-179.5,0.035433,0.035134,
